Crop_Type,Region,Farm_Size,Rainy_Season_Length,Flood_Frequency,Soil_Health,Irrigation,Farmer_Experience,Disaster_Loss_Impact,Risk_Score
Maize,Normal Zone,15.2,5,Rare,Good,Yes,12,Low,Low
Sorghum,Drought Zone,18.5,3,Occasional,Poor,No,8,Moderate,Moderate
Rice,Flood Zone,25.6,6,Frequent,Good,Yes,15,High,High
Wheat,Normal Zone,10.0,4,Rare,Average,No,5,Low,Low
Millet,Drought Zone,20.3,3,Occasional,Average,No,10,Moderate,Moderate
Soybean,Flood Zone,30.5,5,Frequent,Good,Yes,20,Moderate,Low
Groundnut,Normal Zone,12.8,4,Rare,Good,No,7,Low,Low
Cassava,Drought Zone,8.5,2,Occasional,Poor,No,6,High,High
Barley,Normal Zone,50.0,5,Rare,Good,Yes,18,Low,Low
Cotton,Flood Zone,35.2,5,Frequent,Average,Yes,22,Critical,Critical
Maize,Normal Zone,60.5,6,Occasional,Good,Yes,25,Low,Low
Sorghum,Drought Zone,45.0,3,Frequent,Poor,No,14,High,Moderate
Rice,Flood Zone,20.8,5,Frequent,Good,Yes,10,High,High
Wheat,Normal Zone,30.0,4,Rare,Good,No,9,Low,Low
Millet,Drought Zone,16.4,2,Occasional,Average,No,8,Moderate,Moderate
Soybean,Flood Zone,40.5,6,Frequent,Good,Yes,21,Moderate,Low
Groundnut,Normal Zone,8.5,4,Rare,Average,No,6,Low,Low
Cassava,Drought Zone,18.6,3,Occasional,Poor,No,5,High,High
Barley,Normal Zone,25.4,5,Occasional,Good,Yes,15,Low,Low
Cotton,Flood Zone,35.2,5,Frequent,Average,Yes,10,Critical,Critical
Maize,Normal Zone,18.0,5,Rare,Good,Yes,12,Low,Low
Sorghum,Drought Zone,25.3,3,Occasional,Poor,No,10,Moderate,Moderate
Rice,Flood Zone,28.6,6,Frequent,Good,Yes,22,High,High
Wheat,Normal Zone,14.0,4,Rare,Good,No,8,Low,Low
Millet,Drought Zone,20.2,3,Occasional,Average,No,9,Moderate,Moderate
Soybean,Flood Zone,32.0,5,Frequent,Good,Yes,25,Moderate,Low
Groundnut,Normal Zone,9.2,4,Rare,Good,No,7,Low,Low
Cassava,Drought Zone,15.4,2,Occasional,Poor,No,5,High,High
Barley,Normal Zone,40.6,5,Occasional,Good,Yes,18,Low,Low
Cotton,Flood Zone,45.8,6,Frequent,Average,Yes,23,Critical,Critical
Maize,Normal Zone,12.5,5,Occasional,Good,Yes,11,Low,Low
Sorghum,Drought Zone,19.0,3,Frequent,Poor,No,13,Moderate,Moderate
Rice,Flood Zone,50.0,6,Frequent,Good,Yes,30,High,High
Wheat,Normal Zone,22.4,4,Rare,Average,No,7,Low,Low
Millet,Drought Zone,28.3,2,Occasional,Average,No,12,Moderate,Moderate
Soybean,Flood Zone,38.6,5,Frequent,Good,Yes,28,Moderate,Low
Groundnut,Normal Zone,13.2,4,Rare,Good,No,9,Low,Low
Cassava,Drought Zone,18.7,3,Occasional,Poor,No,7,High,High
Barley,Normal Zone,60.0,5,Occasional,Good,Yes,20,Low,Low
Cotton,Flood Zone,40.3,5,Frequent,Average,Yes,30,Critical,Critical
Maize,Normal Zone,15.2,5,Rare,Good,Yes,14,Low,Low
Sorghum,Drought Zone,20.1,3,Frequent,Poor,No,10,Moderate,Moderate
Rice,Flood Zone,24.5,6,Frequent,Good,Yes,18,High,High
Wheat,Normal Zone,12.0,4,Rare,Average,No,6,Low,Low
Millet,Drought Zone,17.5,2,Occasional,Average,No,9,Moderate,Moderate
Soybean,Flood Zone,30.0,5,Frequent,Good,Yes,20,Moderate,Low
Groundnut,Normal Zone,10.5,4,Rare,Good,No,7,Low,Low
Cassava,Drought Zone,14.0,2,Occasional,Poor,No,6,High,High
"Maize,Groundnut",Normal Zone,25.0,5,Rare,Good,Yes,15,Low,Low
Sorghum,Drought Zone,18.2,3,Occasional,Poor,No,9,Moderate,Moderate
Rice,Flood Zone,32.0,6,Frequent,Good,Yes,20,High,High
Wheat,Normal Zone,14.5,4,Rare,Average,No,6,Low,Low
Millet,Drought Zone,22.3,2,Occasional,Average,No,8,Moderate,Moderate
"Soybean,Groundnut",Flood Zone,40.0,5,Frequent,Good,Yes,18,Moderate,Low
Cassava,Drought Zone,10.8,2,Occasional,Poor,No,7,High,High
"Barley,Wheat",Normal Zone,28.5,5,Rare,Good,Yes,20,Low,Low
Cotton,Flood Zone,38.0,6,Frequent,Average,Yes,22,Critical,Critical
"Rice,Sorghum",Flood Zone,45.0,5,Frequent,Good,Yes,25,High,High
Maize,Normal Zone,50.0,6,Occasional,Good,Yes,30,Low,Low
"Sorghum,Millet",Drought Zone,20.4,3,Frequent,Poor,No,12,Moderate,Moderate
"Groundnut,Rice",Flood Zone,24.5,5,Frequent,Good,Yes,18,Moderate,High
Wheat,Normal Zone,18.5,4,Rare,Average,No,9,Low,Low
Millet,Drought Zone,14.6,3,Occasional,Average,No,7,Moderate,Moderate
Soybean,Flood Zone,35.0,5,Frequent,Good,Yes,28,Moderate,Low
"Groundnut,Cassava",Normal Zone,10.0,4,Rare,Good,No,5,Low,Low
"Maize,Barley",Normal Zone,40.2,5,Occasional,Good,Yes,18,Low,Low
Cotton,Flood Zone,60.0,6,Frequent,Average,Yes,30,Critical,Critical
"Maize,Sorghum",Normal Zone,25.6,5,Rare,Good,Yes,14,Low,Low
Sorghum,Drought Zone,28.3,3,Frequent,Poor,No,15,Moderate,Moderate
Rice,Flood Zone,50.0,6,Frequent,Good,Yes,35,High,High
Wheat,Normal Zone,12.0,4,Rare,Good,No,6,Low,Low
Millet,Drought Zone,20.0,2,Occasional,Average,No,8,Moderate,Moderate
Soybean,Flood Zone,38.5,5,Frequent,Good,Yes,22,Moderate,Low
Cassava,Drought Zone,15.0,2,Occasional,Poor,No,8,High,High
Barley,Normal Zone,25.4,5,Occasional,Good,Yes,20,Low,Low
"Maize,Groundnut",Normal Zone,40.6,6,Rare,Good,Yes,28,Low,Low
"Rice,Cotton",Flood Zone,35.5,5,Frequent,Good,Yes,24,Critical,Critical
Sorghum,Drought Zone,22.2,3,Frequent,Poor,No,14,Moderate,Moderate
"Soybean,Wheat",Normal Zone,15.6,4,Rare,Good,No,10,Low,Low
"Maize,Sorghum,Millet",Drought Zone,18.0,3,Occasional,Average,No,9,Moderate,Moderate
"Rice,Groundnut",Flood Zone,45.5,6,Frequent,Good,Yes,30,High,High
Wheat,Normal Zone,22.0,4,Rare,Good,No,12,Low,Low
Millet,Drought Zone,20.3,3,Occasional,Average,No,10,Moderate,Moderate
"Soybean,Rice",Flood Zone,48.0,6,Frequent,Good,Yes,35,Moderate,High
Cassava,Drought Zone,10.2,2,Occasional,Poor,No,6,High,High
"Barley,Wheat",Normal Zone,28.5,5,Rare,Good,Yes,22,Low,Low
Cotton,Flood Zone,30.0,5,Frequent,Average,Yes,20,Critical,Critical
"Maize,Rice",Flood Zone,38.6,6,Frequent,Good,Yes,25,High,High
Sorghum,Drought Zone,25.2,3,Occasional,Poor,No,13,Moderate,Moderate
"Soybean,Barley",Normal Zone,18.5,4,Rare,Good,No,9,Low,Low
Rice,Flood Zone,40.5,6,Frequent,Good,Yes,28,High,High
Wheat,Normal Zone,15.0,4,Rare,Good,No,7,Low,Low
Millet,Drought Zone,20.4,3,Occasional,Average,No,12,Moderate,Moderate
"Soybean,Cotton",Flood Zone,45.5,6,Frequent,Good,Yes,32,Moderate,High
Cassava,Drought Zone,12.8,2,Occasional,Poor,No,8,High,High
Barley,Normal Zone,50.0,5,Occasional,Good,Yes,25,Low,Low
